Date,Open,High,Low,Close,Volume,Currency
2020-12-07,122.34,124.54,122.26,123.75,86711992,USD
2020-12-04,122.6,122.86,121.52,122.25,78260000,USD
2020-12-03,123.51,123.77,122.24,122.94,78967632,USD
2020-12-02,122.15,123.37,120.92,123.08,89004192,USD
2020-12-01,121.01,123.47,120.01,122.72,125922000,USD
2020-11-30,116.97,120.97,116.81,119.05,167204992,USD
2020-11-27,116.57,117.49,116.22,116.59,46691000,USD
2020-11-25,115.63,116.75,115.23,116.03,76499232,USD
2020-11-24,113.96,115.85,112.59,115.17,113874216,USD
2020-11-23,117.21,117.59,113.76,113.85,127959320,USD
2020-11-20,118.64,118.77,117.29,117.34,73604000,USD
2020-11-19,117.33,118.95,116.84,118.64,74112976,USD
2020-11-18,118.61,119.82,118.0,118.03,76322112,USD
2020-11-17,119.51,120.67,118.99,119.39,74270976,USD
2020-11-16,118.93,120.99,118.17,120.3,91183016,USD
2020-11-13,119.44,119.67,117.87,119.26,81689000,USD
2020-11-12,119.55,120.52,118.58,119.21,103350672,USD
2020-11-11,117.17,119.59,116.51,119.49,112294952,USD
2020-11-10,115.57,117.58,114.14,115.97,138023392,USD
2020-11-09,120.5,121.98,116.12,116.32,154515312,USD
